Coordinate Number, RA_CTR, DEC_CTR, Radius 
0, 84.11534394923171, -13.418394634146342, 10800 
1, 28.269533303078042, -25.98657793181818, 10800 
2, 241.92703434060238, -68.38872099999999, 10800 
3, 266.45357966342846, -62.32543525000001, 10800 
4, 349.5414371607145, -72.68725992452829, 10800 
5, 77.93264836283417, -60.78654745238096, 10800 
6, 287.1983627285818, -33.7141256744186, 10800 
7, 90.57027913234641, -72.79902769090909, 10800 
8, 13.922175948917953, -33.52960713953488, 10800 
9, 314.33949789554833, -60.55585560377359, 10800 
10, 63.50326126065147, -31.830005359281447, 10800 
11, 165.72153949680782, 15.046204, 10800 
1, 252.89947626482936, -13.418394634146342, 10800 
2, 343.13284563325203, -25.98657793181818, 10800 
3, 194.2434135255304, -68.38872099999999, 10800 
4, 306.0697822707167, -62.32543525000001, 10800 
5, 157.47671261425597, -72.68725992452829, 10800 
6, 71.67447863330756, -60.78654745238096, 10800 
7, 51.479481944551786, -33.7141256744186, 10800 
8, 6.7304405156299385, -72.79902769090909, 10800 
9, 269.379410705602, -33.52960713953488, 10800 
10, 18.267896116360003, -60.55585560377359, 10800 
11, 220.88393203373792, -31.830005359281447, 10800 
12, 38.43631791801456, 15.046204, 10800 
2, 233.90540267226896, -13.418394634146342, 10800 
3, 269.1151750092954, -25.98657793181818, 10800 
4, 194.39249950287456, -68.38872099999999, 10800 
5, 261.32414856662945, -62.32543525000001, 10800 
6, 29.789229445896154, -72.68725992452829, 10800 
7, 237.45198639172395, -60.78654745238096, 10800 
8, 62.978658608577106, -33.7141256744186, 10800 
9, 15.944188121134047, -72.79902769090909, 10800 
10, 332.8496723131887, -33.52960713953488, 10800 
11, 24.34367453268399, -60.55585560377359, 10800 
12, 346.88627577432374, -31.830005359281447, 10800 
13, 359.21408937564394, 15.046204, 10800 
