Object Type,Count
Be*_Candidate,163
EclBin,1412
RRLyrae,186
RGB*_Candidate,10155
EmLine*,363
LongPeriodV*,2005
HighMassXBin,48
Star,1181
C*,293
ClassicalCep,704
EllipVar,32
delSctV*,161
RedSG_Candidate,321
RedSG,49
AGB*_Candidate,32
NearIR,13
Ae*,2
BlueSG,28
**,4
S*,8
PlanetaryNeb,8
Cluster*,16
QSO,11
WolfRayet*,2
YellowSG,36
EmObj,3
HighPM*,24
Type2Cep,3
Mira,32
Variable*,2
QSO_Candidate,2
RVTauV*,1
LongPeriodV*_Candidate,1
Cepheid,7
HighMassXBin_Candidate,1
AGN,1
Supergiant,13
YSO,4
BlueSG_Candidate,2
Blend,2
Supergiant_Candidate,3
Be*,189
AGB*,1
HIIReg,2
PulsV*,16
Association,1
RCrBV*,1
OpenCluster,3
Symbiotic*,3
Nova,1
C*_Candidate,1
MidIR,3
SB*,30
ChemPec*,2
YellowSG_Candidate,1
YSO_Candidate,1
RGB*,9
WhiteDwarf,1
