Plate ID,Date,RA_CTR,DEC_CTR,Dec_delta_x,Dec_delta_y,RA_delta_x,RA_delta_y,crpix1,crpix2,naxis1,naxis2,Year,Cluster
a04202, 1900-01-03T04:06:14.4Z,56.089261,-57.476376, -0.000182022, 3.18526e-06, 3.12108e-06, 0.000182008,18183.8017,15404.983, 35268, 31627,1900,-1
a04203, 1900-01-03T04:32:09.6Z,51.018025,-57.346575, -0.000182055, 3.59754e-06, 3.53832e-06, 0.000181995,18670.9422,15922.9752, 35268, 31627,1900,-1
a04205, 1900-02-21T02:06:43.2Z,72.993105,-62.424184, -0.000181995, 3.37465e-06, 3.30195e-06, 0.000181984,19151.8778,14404.9385, 38243, 31327,1900,-1
a04206, 1900-02-21T03:21:36Z,95.724232,-62.491732, -0.000181989, 2.74348e-06, 2.67646e-06, 0.000181993,18584.0584,15801.3155, 38243, 31327,1900,-1
a04207, 1900-02-21T04:33:36Z,110.343624,-62.819617, -0.000181935, 6.0891e-06, 6.00974e-06, 0.000181924,18547.618,15023.7892, 35268, 31627,1900,-1
a04208, 1900-02-22T01:00:28.8Z,53.513633,-42.135971, -0.000182003, 2.77189e-06, 2.72791e-06, 0.000181972,18251.3081,15019.2418, 35268, 31627,1900,-1
a04209, 1900-02-22T02:12:28.8Z,68.954969,-42.554756, -0.000182152, -5.69454e-07, -4.20822e-07, 0.000181747,16492.4982,13374.6761, 35268, 31627,1900,-1
a04210, 1900-02-22T03:00:00Z,98.447518,-42.480528, -0.000182004, 2.1616e-06, 2.13011e-06, 0.000181997,18195.4081,15325.3979, 35268, 31627,1900,-1
a04211, 1900-02-22T03:15:50.4Z,98.277335,-42.549993, -0.000182029, 1.18566e-06, 1.15514e-06, 0.000182016,18726.581,14935.1574, 35268, 31627,1900,-1
a04212, 1900-02-22T03:28:48Z,98.422426,-42.449169, -0.000182038, 1.74639e-06, 1.71047e-06, 0.000182022,18232.2177,15523.9144, 35268, 31627,1900,-1
a04213, 1900-02-22T03:57:36Z,108.41973,-42.637522, -0.000182017, 2.46984e-06, 2.43577e-06, 0.000182004,18502.9489,14560.5067, 35268, 31627,1900,-1
a04214, 1900-02-24T02:06:43.2Z,80.250722,-62.693957, -0.000181964, 3.91281e-06, 3.85234e-06, 0.000181968,19241.0645,14271.2109, 38243, 31327,1900,-1
a04216, 1900-02-24T04:19:12Z,118.664424,-27.815857, -0.00018199, -3.81025e-07, -4.01847e-07, 0.000181972,17607.9199,15246.5274, 35268, 31627,1900,-1
a04217, 1900-02-25T00:50:24Z,58.661363,-17.164013, -0.000181971, -2.01364e-06, -2.02208e-06, 0.000181946,18024.469,15697.5021, 35268, 31627,1900,-1
a04218, 1900-02-25T02:03:50.4Z,73.622412,-17.36219, -0.000182006, 7.81255e-07, 7.7176e-07, 0.000181972,18055.9017,15282.8072, 35268, 31627,1900,-1
