Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1900,0,272.06759962068963,-23.089889931034477,18000
1901,0,156.2995743333333,-7.7136435,18000
1902,NA,NA,NA,18000
1903,0,270.1784732888889,-43.11825244444445,18000
1904,0,322.3118606176471,-15.888228764705884,18000
1905,NA,NA,NA,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,NA,NA,NA,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,0,244.27173054999997,-24.000512099999998,18000
1916,NA,NA,NA,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,0,154.5277912333333,-46.35682953333333,18000
1922,1,245.73895259999998,-25.017671720000003,18000
1922,2,262.70554886206895,-67.22529741379311,18000
1923,0,138.67426616666668,-64.77655703333333,18000
1923,1,81.10646962962964,-24.817227407407405,18000
1923,2,277.200249675,-25.128966025,18000
1923,3,236.62772900000004,-37.60186276190476,18000
1923,4,264.5502992,-53.95351428000001,18000
1923,5,245.52513120000006,-24.459900822222224,18000
1923,6,295.21771838709685,-30.891212741935483,18000
1923,7,324.8688865625,-23.31157553125,18000
1923,8,285.06610553125,-36.629519093750005,18000
1924,0,285.272094195122,-13.418394634146342,18000
1925,0,117.4121751875,-28.6321276,18000
1925,5,148.93001850000002,-55.362300749999996,18000
1925,1,158.5428521904762,-57.69045738095238,18000
1925,2,294.49124482857144,-30.887799857142852,18000
1925,3,99.1508274347826,-61.85477500000001,18000
1925,4,13.62428925,-72.51044420000002,18000
1925,6,325.5800736666667,-22.734139000000006,18000
1926,0,118.2489548030303,-29.926700606060603,18000
1926,1,156.62906575,-56.58917180000001,18000
1926,2,265.6116987619048,-26.574919904761902,18000
1926,3,167.60547746666666,-62.3490273,18000
1927,NA,NA,NA,18000
1928,NA,NA,NA,18000
1929,NA,NA,NA,18000
1930,0,271.27551851612907,-33.072506241935486,18000
1930,1,264.5604554827586,-42.88391737931035,18000
1900,0,272.06759962068963,-23.089889931034477,18000
1901,0,156.2995743333333,-7.7136435,18000
1902,NA,NA,NA,18000
1903,0,270.1784732888889,-43.11825244444445,18000
1904,0,322.3118606176471,-15.888228764705884,18000
1905,NA,NA,NA,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,NA,NA,NA,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,0,244.27173054999997,-24.000512099999998,18000
1916,NA,NA,NA,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,0,154.5277912333333,-46.35682953333333,18000
1922,1,245.73895259999998,-25.017671720000003,18000
1922,2,262.70554886206895,-67.22529741379311,18000
1923,0,138.67426616666668,-64.77655703333333,18000
1923,1,81.10646962962964,-24.817227407407405,18000
1923,2,277.200249675,-25.128966025,18000
1923,3,236.62772900000004,-37.60186276190476,18000
1923,4,264.5502992,-53.95351428000001,18000
1923,5,245.52513120000006,-24.459900822222224,18000
1923,6,295.21771838709685,-30.891212741935483,18000
1923,7,324.8688865625,-23.31157553125,18000
1923,8,285.06610553125,-36.629519093750005,18000
1924,0,285.272094195122,-13.418394634146342,18000
1925,0,117.4121751875,-28.6321276,18000
1925,5,148.93001850000002,-55.362300749999996,18000
1925,1,158.5428521904762,-57.69045738095238,18000
1925,2,294.49124482857144,-30.887799857142852,18000
1925,3,99.1508274347826,-61.85477500000001,18000
1925,4,13.62428925,-72.51044420000002,18000
1925,6,325.5800736666667,-22.734139000000006,18000
1926,0,118.2489548030303,-29.926700606060603,18000
1926,1,156.62906575,-56.58917180000001,18000
1926,2,265.6116987619048,-26.574919904761902,18000
1926,3,167.60547746666666,-62.3490273,18000
1927,NA,NA,NA,18000
1928,NA,NA,NA,18000
1929,NA,NA,NA,18000
1930,0,271.27551851612907,-33.072506241935486,18000
1930,1,264.5604554827586,-42.88391737931035,18000
1900,0,272.06759962068963,-23.089889931034477,18000
1901,0,156.2995743333333,-7.7136435,18000
1902,NA,NA,NA,18000
1903,0,270.1784732888889,-43.11825244444445,18000
1904,0,322.3118606176471,-15.888228764705884,18000
1905,NA,NA,NA,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,NA,NA,NA,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,0,244.27173054999997,-24.000512099999998,18000
1916,NA,NA,NA,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,0,154.5277912333333,-46.35682953333333,18000
1922,1,245.73895259999998,-25.017671720000003,18000
1922,2,262.70554886206895,-67.22529741379311,18000
1923,0,138.67426616666668,-64.77655703333333,18000
1923,1,81.10646962962964,-24.817227407407405,18000
1923,2,277.200249675,-25.128966025,18000
1923,3,236.62772900000004,-37.60186276190476,18000
1923,4,264.5502992,-53.95351428000001,18000
1923,5,245.52513120000006,-24.459900822222224,18000
1923,6,295.21771838709685,-30.891212741935483,18000
1923,7,324.8688865625,-23.31157553125,18000
1923,8,285.06610553125,-36.629519093750005,18000
1924,0,285.272094195122,-13.418394634146342,18000
1925,0,117.4121751875,-28.6321276,18000
1925,5,148.93001850000002,-55.362300749999996,18000
1925,1,158.5428521904762,-57.69045738095238,18000
1925,2,294.49124482857144,-30.887799857142852,18000
1925,3,99.1508274347826,-61.85477500000001,18000
1925,4,13.62428925,-72.51044420000002,18000
1925,6,325.5800736666667,-22.734139000000006,18000
1926,0,118.2489548030303,-29.926700606060603,18000
1926,1,156.62906575,-56.58917180000001,18000
1926,2,265.6116987619048,-26.574919904761902,18000
1926,3,167.60547746666666,-62.3490273,18000
1927,NA,NA,NA,18000
1928,NA,NA,NA,18000
1929,NA,NA,NA,18000
1930,0,271.27551851612907,-33.072506241935486,18000
1930,1,264.5604554827586,-42.88391737931035,18000
1900,0,272.06759962068963,-23.089889931034477,18000
1901,0,156.2995743333333,-7.7136435,18000
1902,NA,NA,NA,18000
1903,0,270.1784732888889,-43.11825244444445,18000
1904,0,322.3118606176471,-15.888228764705884,18000
1905,NA,NA,NA,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,NA,NA,NA,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,0,244.27173054999997,-24.000512099999998,18000
1916,NA,NA,NA,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,0,154.5277912333333,-46.35682953333333,18000
1922,1,245.73895259999998,-25.017671720000003,18000
1922,2,262.70554886206895,-67.22529741379311,18000
1923,0,138.67426616666668,-64.77655703333333,18000
1923,1,81.10646962962964,-24.817227407407405,18000
1923,2,277.200249675,-25.128966025,18000
1923,3,236.62772900000004,-37.60186276190476,18000
1923,4,264.5502992,-53.95351428000001,18000
1923,5,245.52513120000006,-24.459900822222224,18000
1923,6,295.21771838709685,-30.891212741935483,18000
1923,7,324.8688865625,-23.31157553125,18000
1923,8,285.06610553125,-36.629519093750005,18000
1924,0,285.272094195122,-13.418394634146342,18000
1925,0,117.4121751875,-28.6321276,18000
1925,5,148.93001850000002,-55.362300749999996,18000
1925,1,158.5428521904762,-57.69045738095238,18000
1925,2,294.49124482857144,-30.887799857142852,18000
1925,3,99.1508274347826,-61.85477500000001,18000
1925,4,13.62428925,-72.51044420000002,18000
1925,6,325.5800736666667,-22.734139000000006,18000
1926,0,118.2489548030303,-29.926700606060603,18000
1926,1,156.62906575,-56.58917180000001,18000
1926,2,265.6116987619048,-26.574919904761902,18000
1926,3,167.60547746666666,-62.3490273,18000
1927,NA,NA,NA,18000
1928,NA,NA,NA,18000
1929,NA,NA,NA,18000
1930,0,271.27551851612907,-33.072506241935486,18000
1930,1,264.5604554827586,-42.88391737931035,18000
