Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1925,0,115.92633636666665,-26.517268816666668,18000
1931,0,272.58718078431366,-30.155019156862746,18000
1934,0,81.04500098648649,-68.6071580810811,18000
1937,0,192.6386939848485,-62.35116484848485,18000
1940,0,13.408410735849056,-72.68725992452829,18000
1943,0,282.98532637333335,-7.2686500133333345,18000
1948,0,272.0500569642857,-32.787366750000004,18000
1948,1,13.228599800000005,-72.79902769090909,18000
1950,0,172.65004626785716,-60.51017078571429,18000
1950,1,271.78126464285714,-31.795138541666667,18000
1950,2,257.4157462352941,15.046204,18000
1923,0,245.52513120000006,-24.459900822222224,18000
1923,0,244.91195872500003,-23.96263265,10800
1924,0,285.272094195122,-13.418394634146342,10800
1925,0,115.11432497872339,-26.17496187234043,10800
1925,1,294.49124482857144,-30.887799857142852,10800
1934,0,81.99139052000001,-68.38872099999999,10800
1937,0,191.76655392307686,-62.65662278846154,10800
1940,0,13.408410735849056,-72.68725992452829,10800
1940,1,30.41811072222222,-74.4918125,10800
1943,0,282.9920373589743,-9.444712948717951,10800
1943,1,282.97805613888886,-4.9112485,10800
1944,0,172.52480511904764,-60.78654745238096,10800
1945,0,12.936564513513513,-72.65322702702701,10800
1948,0,271.6283789767442,-33.7141256744186,10800
1948,1,13.228599800000005,-72.79902769090909,10800
1949,0,271.309184627907,-33.52960713953488,10800
1950,0,172.95496507547165,-60.55585560377359,10800
1950,1,271.80035981437123,-31.830005359281447,10800
1950,2,257.4157462352941,15.046204,10800
