Object Type,Count
EclBin,1416
ClassicalCep,788
RGB*_Candidate,10496
LongPeriodV*,2052
Cluster*,17
Star,850
HighMassXBin,41
RRLyrae,187
RedSG_Candidate,315
Be*_Candidate,198
EmLine*,361
C*,300
RedSG,46
AGB*_Candidate,44
YellowSG,30
delSctV*,144
QSO,13
PlanetaryNeb,9
BlueSG,17
Ae*,3
EllipVar,43
AGB*,3
Type2Cep,4
NearIR,17
Supergiant_Candidate,3
Supergiant,13
PulsV*,8
OpenCluster,3
EmObj,3
HighPM*,25
Mira,37
Variable*,2
WolfRayet*,2
YSO,5
ChemPec*,2
Symbiotic*,3
S*,10
Cepheid,8
**,4
MidIR,3
Blend,2
LongPeriodV*_Candidate,1
QSO_Candidate,2
RVTauV*,1
HighMassXBin_Candidate,1
RGB*,14
AGN,1
BlueSG_Candidate,3
HIIReg,1
YSO_Candidate,1
Association,2
Be*,64
RCrBV*,2
Nova,1
C*_Candidate,2
SB*,6
YellowSG_Candidate,1
