Object Type,Average,Median,Standard Deviation,Min,Max
SB*,38.536,27.0,35.00175638307026,0,227
Star,655.692,495.0,660.2753457463036,94,6843
HighPM*,34.718,30.0,17.68955388451802,4,174
**,7.54,6.0,5.698890656032877,0,39
EclBin,59.128,17.0,441.27442465171646,0,7977
RSCVnV*,1.43,0.0,2.7684704906708744,0,30
EmLine*,5.64,0.0,13.819129374651165,0,177
Galaxy,6.878,0.0,82.81064134905176,0,1755
RRLyrae,17.252,7.0,46.62742464965139,0,501
QSO,25.028,0.5,54.38811773449604,0,484
Seyfert,0.024,0.0,0.16576778310586066,0,2
ClG,0.042,0.0,0.2537020485903057,0,4
PulsV*,2.044,1.0,4.539965481492816,0,40
Variable*,11.232,2.0,60.10193558715597,0,1295
ChemPec*,8.554,4.0,28.68289561745822,0,442
HorBranch*,4.194,0.0,18.043933358947108,0,227
RotV*,0.996,0.0,6.729230944037839,0,109
EclBin_Candidate,0.528,0.0,1.3163135503083796,0,11
LongPeriodV*,23.192,2.0,293.5451867930707,0,6110
AGB*_Candidate,0.028,0.0,0.18784720691639945,0,2
YSO_Candidate,3.674,1.0,25.067598468660137,0,432
LongPeriodV*_Candidate,4.058,1.0,8.102712131612202,0,82
HighVel*,0.114,0.0,0.40165489329350046,0,3
BLLac,0.276,0.0,0.620155775892433,0,5
Mira,2.688,0.0,16.3864482843217,0,235
gammaDorV*,0.718,0.0,2.7293542733582603,0,45
Seyfert1,4.278,0.0,11.07221313954962,0,128
delSctV*,3.49,0.0,16.40683603066338,0,243
RGB*,11.45,0.0,114.9218759642841,0,1794
HotSubdwarf,0.652,0.0,1.0084294024469134,0,7
Seyfert2,1.192,0.0,3.7543743357990573,0,32
Supernova,0.496,0.0,1.1733445678699415,0,14
BYDraV*,0.484,0.0,1.506746351957846,0,22
AGN,0.628,0.0,1.8331221108662383,0,17
Radio,0.096,0.0,0.5208902507310088,0,10
Symbiotic*,0.018,0.0,0.13308426971543774,0,1
WhiteDwarf,0.624,0.0,1.049202388151402,0,9
LINER,0.184,0.0,1.0993457701035143,0,13
Low-Mass*,1.162,0.0,22.05358195291431,0,493
blue,0.328,0.0,1.4658490464074763,0,15
GtowardsCl,1.876,0.0,18.153338850548835,0,258
C*,0.638,0.0,1.5387304451285582,0,14
RadioG,0.154,0.0,0.8195286782712475,0,12
