Coordinate Number, RA_CTR, DEC_CTR, Radius 
0, 58.526197615937214, 4.370492882613064, 10 
1, 273.25502417228626, -47.05323089245292, 10 
2, 22.838778059171307, 25.79643698081601, 10 
3, 49.88753785267584, 23.497843548866214, 10 
4, 237.325468826482, 59.79423770577833, 10 
5, 165.16875241637203, 54.29246085011334, 10 
6, 51.949664105738364, -29.291391590594593, 10 
7, 114.34635376606211, 16.682209050187453, 10 
8, 21.429336116324112, 26.674708574630685, 10 
9, 76.38176096892302, 47.912589814973074, 10 
