RA (deg),Dec (deg),radius,Object Name,Object Type
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204250790754194048,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204249618223884416,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132431,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10527,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204263606936669696,YSO_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-291-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150102-331036,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,2MASS J15005972-3313272,LongPeriodV*_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204243433470963840,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204628850954513280,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10537,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150008.4-331719,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1517-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132644,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1370-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204267661385843072,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204243192952915712,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-1355-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077861,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  682677,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,IRAS F14571-3309,Infrared
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077812,Star
225.12517724860533,-33.131897358647315,11940.68841917433,IRAS 14571-3310,FarIR
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077847,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J145947.6-331920,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077860,Star
225.12517724860533,-33.131897358647315,11940.68841917433,2MASS J15014138-3308032,LongPeriodV*_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10524,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  684604,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150147-330938,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204262404345883136,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10513,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150009.9-332429,RRLyrae
225.12517724860533,-33.131897358647315,11940.68841917433,1RXS J145915.1-331453,X
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-513-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204255390660094080,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 283-079619,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077791,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077867,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204255085721475584,WhiteDwarf
225.12517724860533,-33.131897358647315,11940.68841917433,RAVE J145953.0-332412,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077758,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  677550,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204260067883641344,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077851,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077790,Star
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132414,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077842,Star
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150114-332435,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-1754-1,SB*
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J145905.9-331549,RRLyrae
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077743,Star
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150028-332738,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J145943.8-332519,RRLyrae
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204258654835262592,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-459-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204194818735512448,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077749,Star
225.12517724860533,-33.131897358647315,11940.68841917433,V* V748 Cen,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077120,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7315-496-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6205020032278132608,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077719,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150206.3-331310,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10528,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204646992896411520,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-1199-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204259445107627136,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6205021685843203200,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-2190-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J145942.0-324823,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204188633988183040,Star
225.12517724860533,-33.131897358647315,11940.68841917433,PM J15001-3330,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,TYC 7302-2272-1,Star
225.12517724860533,-33.131897358647315,11940.68841917433,CRTS J150130.2-332703,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150204-325614,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10508B,YSO
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10508,**
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10508A,TTauri*
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204186984715085184,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-078064,SB*
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077107,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077692,Star
225.12517724860533,-33.131897358647315,11940.68841917433,IRAS F14571-3319,Infrared
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 284-076794,SB*
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J145939-324701,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  675236,EmissionG
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132314,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077123,Star
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150223-330647,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204636680677700224,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6205012202555369984,EclBin
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077089,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077713,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  686750,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077076,ChemPec*
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204633661316653312,WhiteDwarf_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,CD-32 10552,HighPM*
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077724,Star
225.12517724860533,-33.131897358647315,11940.68841917433,HD 132837,Star
225.12517724860533,-33.131897358647315,11940.68841917433,LEDA  687122,Galaxy
225.12517724860533,-33.131897358647315,11940.68841917433,NVSS J150217-331906,Radio
225.12517724860533,-33.131897358647315,11940.68841917433,Gaia DR3 6204559336913089920,YSO_Candidate
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 286-077726,Star
225.12517724860533,-33.131897358647315,11940.68841917433,UCAC4 287-077193,Star
225.12517724860533,-33.131897358647315,11940.68841917433,TXS 1459-327,Radio
