Plate ID, Date, RA_CTR, DEC_CTR, Dec_delta_x,Dec_delta_y, RA_delta_x, RA_delta_y, crpix1,crpix2, naxis1, naxis2 
a00001, 1893-11-09T23:58:33.6Z, 259.586515, -15.123775, -0.000182, -3.04848e-06, -3.04818e-06, 0.000181955,18388.1271,14956.2385, 35268, 31627
a00002, 1893-11-10T01:56:38.4Z, 2.71745, 14.781101, -0.000181914, -2.74487e-06, -3.19943e-06, 0.000181549,28815.2232,17400.5044, 31627, 35268
a00003, 1893-11-10T02:41:16.8Z, 149.165398, 88.490863, -0.000138036, -0.000123221, -0.000121648, 0.000135423,22749.9426,15310.3701, 31627, 35268
a00004, 1893-11-10T03:21:36Z, 195.341603, 87.878174, -0.000181183, -1.77749e-05, -1.78373e-05, 0.000181136,15414.8528,15002.259, 31627, 35268
a00005, 1893-11-10T03:51:50.4Z, 78.229659, 89.989872, -0.000138324, 0.000118469, 0.000118442, 0.000138421,18491.884,8242.6341, 31627, 35268
a00006, NA, NA, NA, NA, NA, NA, NA,NA,NA, NA, NA
a00007, 1893-11-11T01:01:55.2Z, 182.509963, 89.473061, -0.000183133, 0, 0, 0.000183133,17633.301355,15813.014857, 35268, 31627
a00008, 1893-11-14T23:22:33.6Z, 148.746154, 87.702168, -0.000180741, -2.13956e-05, -2.13762e-05, 0.0001808,18141.6175,18750.4663, 31627, 35268
a00009, 1893-11-14T23:35:31.2Z, 170.632946, 88.996183, -0.000183133, 0, 0, 0.000183133,17633.301355,15813.014857, 35268, 31627
a00010, 1893-11-16T22:50:52.8Z, 184.118958, 88.895275, -0.000123061, -0.000134133, -0.000134194, 0.000123019,13356.6807,13279.1494, 35268, 31627
a00011, 1893-11-16T23:00:57.6Z, 55.226074, 89.9994, -0.000181854, 1.05518e-05, 1.05195e-05, 0.000181735,26435.5593,14150.5239, 35268, 31627
a00012, 1893-11-17T00:25:55.2Z, 324.737997, 19.804304, -0.000177027, 1.66895e-06, 2.25462e-06, 0.000177624,9265.5322,7817.8676, 21953, 17493
a00013, 1893-11-17T01:56:38.4Z, 168.136808, 88.666456, -0.000183133, 0, 0, 0.000183133,8685.103721,10987.116227, 17371, 22041
a00014, 1893-11-17T03:07:12Z, 194.606631, 88.27437, -0.000178051, -3.77161e-05, -3.76734e-05, 0.000178103,15975.4554,17338.0169, 31627, 35268
a00015, 1893-11-17T03:59:02.4Z, 35.364636, 58.57682, -0.000181985, 1.8098e-06, 1.83184e-06, 0.000181982,16184.4756,17196.4195, 31627, 35268
a00016, 1893-11-18T23:36:57.6Z, 169.255395, 88.025005, -0.000177149, 4.14588e-05, 4.14721e-05, 0.000177221,13993.0833,17560.9946, 31627, 35268
a00017, 1893-11-19T00:28:48Z, 182.86582, 88.210406, -0.000170236, 6.42179e-05, 6.4225e-05, 0.000170271,12961.3454,19202.4654, 31627, 35268
a00018, 1893-11-19T01:36:28.8Z, 179.158699, 88.914671, -0.000180934, -1.92015e-05, -1.91696e-05, 0.000180985,15695.6086,18088.16, 31627, 35268
a00019, 1893-11-19T02:22:33.6Z, 33.391456, 57.413067, -0.00018192, 1.43229e-06, 1.44133e-06, 0.000181914,15614.2965,17278.0541, 31627, 35268
a00020, 1893-11-19T03:24:28.8Z, 23.863771, 89.853947, -0.000179839, -2.76362e-05, -2.76009e-05, 0.000179882,18041.2383,17693.8105, 31627, 35268
a00021, 1893-11-19T04:13:26.4Z, 56.304092, 24.812039, -0.000183133, 0, 0, 0.000183133,8685.103721,10987.116227, 17371, 22041
a00022, 1893-11-19T04:39:21.6Z, 56.139179, 19.334012, -0.000181941, 8.98023e-07, 9.09337e-07, 0.000181943,16034.2334,16243.8531, 31627, 35268
a00023, 1893-11-20T22:30:43.2Z, 180.152045, 89.626055, -0.0001491, 0.000104083, 0.000105064, 0.000150216,10131.8426,18872.9568, 31627, 35268
