Plate ID, Date, Author, Notebook
a04407, 1900-05-28T02:08:09.6Z, None, None
a03791, 1899-08-01T04:46:33.6Z, None, None
a05523, None, None, None
a05417, 1901-06-27T02:51:21.6Z, None, None
a14024, 1926-09-07T00:02:52.8Z, ['Kazutomo Takayanagi', 'Irma W. Caldwell', 'Frances Woodworth Wright', 'Dorrit Hoffleit'], ['phaedra2634', 'phaedra2651', 'phaedra2592', 'phaedra2541']
a05026, 1901-02-26T06:38:52.8Z, None, None
a02286, 1897-05-14T03:17:16.8Z, ['Mary L. Miller', 'Henrietta Swan Leavitt', 'Cecilia Payne-Gaposchkin'], ['phaedra1131', 'phaedra2520']
a05410, 1901-06-27T00:41:45.6Z, ['Ida E. Woods'], ['phaedra1195']
a18676, None, ['Margaret W. Mayall'], ['phaedra2583']
a04659, 1900-09-05T02:24:00Z, ['Henrietta Swan Leavitt'], ['phaedra2519']
a17672, 1935-06-17T02:35:40.4Z, None, None
a05981, 1902-06-25T03:57:36Z, None, None
a00708, None, ['Ida E. Woods'], ['phaedra1222']
a12890, 1924-04-11T00:44:38.4Z, None, None
a18371, 1936-04-02T01:52:19.2Z, None, None
a02356, 1897-05-30T01:13:26.4Z, None, None
a13821, 1926-06-15T00:10:04.8Z, None, None
a19084, 1937-02-01T19:22:04.5Z, None, None
a04949, 1900-12-30T04:32:09.6Z, None, None
a07543, 1905-12-06T04:20:38.4Z, None, None
a13039, 1924-07-25T01:03:21.6Z, None, None
a15262, 1931-03-19T23:12:28.8Z, None, None
a14225, 1929-09-09T01:29:16.8Z, None, None
a16392, 1933-03-09T22:33:36Z, None, None
a13622, 1925-12-10T06:53:16.8Z, None, None
a18287, 1936-02-25T20:11:02.4Z, None, None
a01781, 1896-05-15T01:40:48Z, ['Evelyn F. Leland', 'Ida E. Woods'], ['phaedra0972', 'phaedra0993', 'phaedra0970', 'phaedra2471']
a00593, 1894-05-02T06:28:48Z, ['Lorie Jones', 'Joan Sears', 'Florence Vincent', 'Elizabeth Dippel', 'Dorrit Hoffleit', 'Barbara Lynn Welther', 'Andrea Kundsin'], ['phaedra2540']
a15838, 1931-12-03T22:35:02.4Z, ['Virginia McKibben Nail', 'R. K. Marshall', 'Martha Dowse Ashbrook', 'Jenka Mohr', 'Frances Woodworth Wright', 'Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin', 'A. Hearn'], ['phaedra2439', 'phaedra2430', 'phaedra2436', 'phaedra2448', 'phaedra2455', 'phaedra2536']
a07942, 1906-08-08T07:00:28.8Z, None, None
a03733, 1899-07-18T03:20:09.6Z, None, None
a18234, 1936-01-31T01:13:26.4Z, None, None
a08520, 1907-10-16T00:33:07.2Z, None, None
a16880, 1934-05-09T18:02:26.8Z, None, None
a00466, 1894-03-28T04:29:16.8Z, ['Virginia McKibben Nail', 'Martha Dowse Ashbrook', 'Frances Woodworth Wright', 'Evelyn F. Leland', 'A. Hearn'], ['phaedra2435', 'phaedra2436', 'phaedra0978']
a12730, 1923-10-05T03:48:57.6Z, ['Ida E. Woods', 'Harvia H. Wilson', 'Frances Woodworth Wright'], ['phaedra1222', 'phaedra2477', 'phaedra2460']
a05008, 1901-02-10T03:14:24Z, None, None
a13900, 1926-07-13T04:01:55.2Z, None, None
a15539, 1931-07-23T19:00:28.8Z, None, None
a04270, 1900-04-05T07:55:12Z, None, None
a00911, 1894-09-28T02:13:55.2Z, ['Ida E. Woods'], ['phaedra1200']
a08379, 1907-07-12T06:53:16.8Z, None, None
a17193, 1934-10-08T01:29:16.8Z, ['Muriel E. Mussells Seyfert'], ['phaedra2361']
a13142, 1924-10-28T00:18:43.2Z, ['Ida E. Woods'], ['phaedra1222']
a11370, 1915-09-08T00:14:24Z, ['Mary L. Miller', 'Cecilia Payne-Gaposchkin'], ['phaedra1131']
a07694, 1906-05-24T04:32:09.6Z, None, None
a18741, 1936-08-07T03:11:31.2Z, None, None
a10910, 1914-05-31T03:27:21.6Z, None, None
a18831, 1936-08-19T19:46:33.6Z, None, None
a15850, 1931-12-10T18:43:12Z, None, None
a18819, 1936-08-17T02:13:55.2Z, None, None
a10421, 1911-06-26T05:12:28.8Z, ['Ida E. Woods'], ['phaedra1219']
a00893, 1894-09-24T09:24:28.8Z, None, None
a04355, None, ['Sarah E. Breslin', 'Annie Jump Cannon'], ['phaedra0718', 'phaedra2225']
a08196, 1906-11-15T01:48:00Z, ['Henrietta Swan Leavitt', 'Evelyn F. Leland'], ['phaedra0953', 'phaedra0984', 'phaedra0986']
a10668, 1913-05-11T05:13:55.2Z, None, None
a17592, 1935-06-02T18:00:00Z, None, None
a17976, 1935-09-06T01:10:33.6Z, None, None
a05044, 1901-03-21T03:43:12Z, ['Jacqueline Sweeney Kloss', 'Harlow Shapley', 'A. Hearn'], ['phaedra2504']
a06479, None, ['Sarah E. Breslin'], ['phaedra0732']
a10973, 1914-07-19T04:22:04.8Z, None, None
a18379, 1936-04-03T19:00:40.9Z, None, None
a15930, None, None, None
a16770, 1934-03-23T21:15:50.4Z, None, None
a03508, 1899-05-03T01:01:55.2Z, ['Frances Woodworth Wright', 'Dorrit Hoffleit'], ['phaedra2612']
a12940, 1924-05-10T05:29:45.6Z, ['Frances Woodworth Wright'], ['phaedra2484']
a11625, 1917-03-28T03:50:24Z, None, None
a19728, 1937-08-31T21:28:48Z, None, None
a13076, 1924-09-18T00:38:52.8Z, None, None
a12689, 1923-09-16T01:12:00Z, ['Ida E. Woods', 'Dorrit Hoffleit'], ['phaedra1218', 'phaedra1223', 'phaedra1215', 'phaedra2533', 'phaedra2532']
a04537, 1900-07-24T02:06:43.2Z, ['Adelaide Ames'], ['phaedra2320']
a11583, None, ['Ida E. Woods', 'Henrietta Swan Leavitt', 'Emily Hughes Boyce'], ['phaedra1184', 'phaedra2526', 'phaedra2616']
a10401, 1911-05-23T02:51:21.6Z, None, None
a04573, None, None, None
a01481, 1895-05-25T07:07:40.8Z, ['Annie Jump Cannon'], ['phaedra2116']
a15592, 1931-08-08T18:51:50.4Z, None, None
a03499, 1899-04-29T03:18:43.2Z, None, None
a18790, 1936-08-11T03:37:26.4Z, None, None
a04186, 1899-12-10T01:19:12Z, None, None
a19389, 1937-05-21T01:35:02.4Z, None, None
a01842, 1896-06-16T01:49:26.4Z, None, None
a03727, 1899-07-18T01:24:57.6Z, None, None
a13996, 1926-09-17T02:06:43.2Z, None, None
a08347, None, ['Williamina Fleming', 'Annie Jump Cannon'], ['phaedra0899']
a16277, 1932-10-08T23:21:07.2Z, None, None
a05869, 1902-05-16T23:58:33.6Z, None, None
a02477, None, None, None
