Plate ID, Date, RA_CTR, DEC_CTR
a14385, 1929-12-03T19:26:24Z, 359.443268, -52.107725
a18693, 1936-07-16T20:24:00Z, 273.410411, -27.447262
a00729, NA, NA, NA
a07075, 1904-11-17T05:18:14.4Z, 89.457707, 47.513379
a01443, 1895-05-04T03:17:16.8Z, 263.294534, 72.123965
a11261, 1915-06-07T01:10:33.6Z, 166.746967, -62.241003
a00818, 1894-08-19T01:50:52.8Z, 283.171738, 41.948493
a09735, 1909-08-26T02:00:57.6Z, 275.674311, 30.00937
a04294, 1900-04-11T09:53:16.8Z, 337.062941, -9.133993
a10976, 1914-07-21T02:15:21.6Z, 236.159786, -45.768213
a03405, 1898-11-20T00:27:21.6Z, 28.964426, -62.57456
a12072, NA, NA, NA
a01630, 1895-09-02T01:39:21.6Z, 248.913581, 41.890703
a07334, NA, NA, NA
a15195, 1931-02-22T00:00:00Z, 148.632321, -21.328409
a18913, 1936-09-18T01:09:07.2Z, 52.904667, 27.609756
a11563, 1916-09-19T03:44:38.4Z, 345.650725, -58.772189
a01691, 1895-09-15T03:28:48Z, 268.115804, 47.071905
a16731, 1934-02-04T19:56:38.4Z, 110.931086, -40.297811
a14434, 1929-12-30T22:45:07.2Z, 99.765598, -54.472195
a05037, NA, NA, NA
a13730, 1926-05-20T05:16:48Z, 212.105944, -68.677083
a04901, 1900-11-29T01:39:21.6Z, 22.527171, 53.243552
a11689, 1917-08-15T00:30:14.4Z, 242.456965, -22.823935
a19569, 1937-07-14T17:13:55.2Z, 215.759707, -51.774405
a15427, 1931-06-10T03:31:40.8Z, 13.321673, -72.836495
a11440, 1916-03-08T02:26:52.8Z, 100.598325, -45.485262
a05387, 1901-06-21T09:27:21.6Z, 353.812842, 33.040539
a18317, 1936-03-12T17:43:37.8Z, 46.448837, -29.640218
a04468, 1900-06-21T02:13:55.2Z, 217.266573, -73.498822
a14472, 1930-01-12T01:23:31.2Z, 135.106112, -55.167534
a12864, NA, NA, NA
a01016, 1894-10-11T04:07:40.8Z, 38.91148, 27.526954
a14224, 1929-09-09T00:31:40.8Z, 14.113266, -61.538235
a05125, 1901-04-21T02:24:00Z, 128.571981, -17.339307
a03296, 1898-09-08T01:30:43.2Z, 274.933546, -77.747463
a00336, 1894-03-08T04:50:52.8Z, 183.991335, 6.224549
a14973, 1930-09-29T20:22:33.6Z, 361.037881, -29.451468
a02933, 1897-12-23T04:39:21.6Z, 84.106873, 24.884566
a19031, 1936-12-18T18:37:26.4Z, 3.871225, 23.896389
a17743, 1935-06-25T18:08:38.4Z, 235.828837, 0.334186
a12925, 1924-05-04T05:28:19.2Z, 254.625855, -30.081535
a09943, 1909-11-03T06:43:12Z, 50.887155, -14.617112
a07739, 1906-06-19T04:22:04.8Z, 219.222317, -27.916104
a14275, 1929-10-08T21:50:24Z, 360.259982, -81.855563
a05391, 1901-06-22T04:22:04.8Z, 219.246323, -28.196926
a06288, 1903-01-17T03:24:28.8Z, 65.339915, -67.562289
a10616, NA, NA, NA
a04206, 1900-02-21T03:21:36Z, 95.724232, -62.491732
a10887, 1914-05-28T02:02:24Z, 161.253216, -60.318614
a07087, 1904-11-18T04:37:55.2Z, 83.97217, 12.467244
a04001, 1899-09-30T01:35:02.4Z, 4.197658, -22.117928
a00544, 1894-04-18T04:52:19.2Z, 213.842669, 17.267127
a09689, NA, NA, NA
a19146, 1937-03-05T18:36:00Z, 136.719659, 14.610121
a02157, 1896-11-12T07:22:04.8Z, 78.865962, -69.681099
a00731, NA, NA, NA
a02898, NA, NA, NA
a04497, 1900-07-03T09:44:38.4Z, 14.891937, 14.743166
a17539, 1935-05-09T20:52:48Z, 191.102404, -62.408787
a09884, 1909-10-22T04:04:48Z, 0.858877, -4.751183
a04663, 1900-09-05T03:38:52.8Z, 348.739959, 38.177154
a05092, 1901-04-07T02:45:36Z, 118.71417, -7.86448
a19973, 1938-02-23T01:24:57.6Z, 191.184835, -62.335842
a14926, 1930-09-01T17:13:55.2Z, 335.692669, -22.607787
a05140, NA, NA, NA
a19247, 1937-04-09T00:27:21.6Z, 238.868418, 22.234174
a00792, 1894-08-15T00:57:36Z, 248.127017, 41.882519
a10552, NA, NA, NA
a09463, 1909-06-29T03:29:23.6Z, 234.231094, -55.406913
a16508, 1933-06-27T18:18:43.2Z, 243.900727, -43.846594
a03247, 1898-08-26T02:51:21.6Z, 307.837639, -72.437384
a12699, 1923-09-20T09:00:00Z, 81.691987, -69.383377
a14085, 1926-10-13T00:01:26.4Z, 335.60066, -22.305658
a00472, 1894-03-28T04:48:00Z, 230.838182, 56.811282
a13226, 1925-05-12T23:26:52.8Z, 113.259366, -28.226851
a03638, 1899-06-17T03:12:57.6Z, 214.454838, -33.962229
a09441, 1909-06-28T02:24:00Z, 206.258103, -25.535755
a14585, NA, NA, NA
a02859, 1897-10-29T03:18:43.2Z, 329.373353, -47.175465
a09680, NA, NA, NA
a08518, 1907-10-08T04:06:14.4Z, 366.520241, -74.557432
a02797, 1897-10-06T00:18:43.2Z, 269.076823, -17.303408
a02547, 1897-07-16T01:29:16.8Z, 204.014391, -52.873381
a13013, 1924-07-01T00:02:52.8Z, 152.899557, -56.383234
a14977, 1930-10-11T18:36:00Z, 356.169399, -24.649356
a19717, 1937-08-29T18:37:26.4Z, 301.097849, -4.816376
a07572, 1906-01-27T03:54:43.2Z, 118.825062, -77.973379
a15595, 1931-08-09T16:59:31.2Z, 271.473821, -33.599823
a02834, 1897-10-16T03:59:02.4Z, 328.971232, -36.93599
a16578, 1933-09-06T18:41:45.6Z, 300.474748, -39.700566
a03592, NA, NA, NA
a11979, 1922-05-17T04:12:00Z, 279.835572, -23.752404
a01985, 1896-08-09T01:52:19.2Z, 247.036407, -57.883775
a05083, 1901-03-31T03:24:28.8Z, 143.882146, -23.082538
a09088, 1908-10-27T06:12:57.6Z, 99.565518, 11.537531
a06808, 1904-07-13T01:50:52.8Z, 264.051153, -17.791858
a00931, 1894-09-30T01:43:40.8Z, 307.994998, 21.034399
a03977, 1899-09-27T23:57:07.2Z, 322.046873, 12.171785
a09526, 1909-07-09T02:03:50.4Z, 216.007723, -15.550136
a16250, 1932-09-25T18:56:09.6Z, 289.078313, -46.476811
a17741, 1935-06-25T02:17:40.9Z, 354.062068, -2.017535
a17880, 1935-08-04T17:06:43.2Z, 274.673343, -33.419475
a06274, 1903-01-03T08:51:21.6Z, 219.215083, -26.207107
a04433, NA, NA, NA
