Plate ID, Date, RA_CTR, DEC_CTR, Dec_delta_x,Dec_delta_y, RA_delta_x, RA_delta_y, crpix1,crpix2, naxis1, naxis2 
a14000, 1926-09-01T00:54:43.2Z, 249.798133, -44.737996, -0.000181968, -2.38764e-06, -2.41317e-06, 0.000181942,18184.6697,15377.7504, 35268, 31627
a14001, 1926-09-01T01:35:02.4Z, 249.782634, -44.722707, -0.000181972, -3.08627e-06, -3.12165e-06, 0.000181928,18248.0524,15689.8739, 35268, 31627
a14002, 1926-09-01T02:15:21.6Z, 249.857812, -44.763589, -0.000182019, -1.03913e-06, -1.07663e-06, 0.000181946,17814.3544,15576.7774, 35268, 31627
a14003, 1926-09-01T02:55:40.8Z, 249.976574, -44.536369, -0.000182031, -4.58377e-06, -4.6163e-06, 0.000181908,17385.7242,16895.0714, 35268, 31627
a14004, 1926-09-01T03:34:33.6Z, 249.707539, -44.748817, -0.000182116, -4.7128e-06, -4.70955e-06, 0.000181894,18718.2877,15572.317, 35268, 31627
a14005, 1926-09-01T05:34:04.8Z, 312.67128, -53.460874, -0.000182059, -1.6846e-06, -1.76395e-06, 0.000182037,10877.2505,8186.4326, 22041, 17410
a14006, 1926-09-03T04:39:21.6Z, 313.115011, -53.510957, -0.000182043, -1.0656e-06, -1.11493e-06, 0.000182037,9257.6703,7979.6373, 22041, 17371
a14007, 1926-09-03T05:58:33.6Z, 14.393098, -72.779949, -0.00018194, -3.70117e-06, -3.71663e-06, 0.00018201,14907.8261,15508.2118, 35268, 31627
a14008, 1926-09-03T07:23:31.2Z, 67.226137, 14.244417, -0.000182079, 2.36017e-06, 2.27414e-06, 0.000182062,9931.8757,12774.225, 22041, 17371
a14009, 1926-09-03T08:36:57.6Z, 64.504199, 15.955633, -0.000182041, 2.41609e-06, 2.36826e-06, 0.000182042,8737.5528,5455.5412, 22041, 17371
a14010, 1926-09-03T09:33:07.2Z, 116.542206, -25.444551, -0.00018215, 1.45956e-06, 1.4315e-06, 0.00018204,13078.0961,8252.3967, 22041, 17371
a14011, NA, NA, NA, NA, NA, NA, NA,NA,NA, NA, NA
a14012, 1926-09-04T00:34:33.6Z, 254.528991, -28.310867, -0.00018195, -1.70661e-06, -1.72177e-06, 0.000181926,17507.1994,15730.3639, 35268, 31627
a14013, 1926-09-04T01:16:19.2Z, 254.541555, -28.379499, -0.000181956, -3.07449e-06, -3.09148e-06, 0.000181924,17540.4059,15516.037, 35268, 31627
a14014, 1926-09-04T01:55:12Z, 254.455481, -28.357009, -0.000181974, -2.69804e-06, -2.7161e-06, 0.000181924,18120.274,15408.85, 35268, 31627
a14015, 1926-09-04T02:39:50.4Z, 254.459343, -28.286043, -0.000181985, -4.11941e-06, -4.1287e-06, 0.0001819,18061.8323,16112.3524, 35268, 31627
a14016, 1926-09-04T03:24:28.8Z, 254.175337, -28.446895, -0.000182102, -3.63189e-06, -3.6124e-06, 0.000181933,19575.5841,14949.625, 35268, 31627
a14017, 1926-09-04T05:09:36Z, 312.416387, -53.628501, -0.000182062, 4.75833e-07, 4.17547e-07, 0.000182059,11641.2109,7185.8736, 22041, 17371
a14018, 1926-09-04T23:57:07.2Z, 265.984259, -26.306141, -0.000181909, -3.59547e-06, -3.59921e-06, 0.000181892,17923.1588,15803.2211, 35268, 31627
a14019, 1926-09-05T00:43:12Z, 249.933105, -44.697092, -0.000181952, -3.38161e-06, -3.41157e-06, 0.000181921,17780.3989,15421.9704, 35268, 31627
a14020, 1926-09-05T01:24:57.6Z, 242.373048, -50.031671, -0.000181977, -3.69721e-06, -3.7448e-06, 0.000181903,17852.7049,15287.7176, 35268, 31627
a14021, 1926-09-05T02:16:48Z, 248.944121, -33.97553, -0.000182011, -3.68934e-06, -3.71133e-06, 0.000181921,18185.6111,15334.1174, 35268, 31627
a14022, 1926-09-05T03:08:38.4Z, 273.356748, -29.916144, -0.000181976, -2.34763e-06, -2.35787e-06, 0.000181931,18927.1669,15322.1924, 38243, 31327
a14023, 1926-09-05T05:16:48Z, 13.064195, -72.782837, -0.000181991, -4.72959e-07, -4.10035e-07, 0.000182065,18380.3341,15424.8703, 35268, 31627
a14024, 1926-09-07T00:02:52.8Z, 211.985709, -68.659739, -0.000182121, -2.51005e-06, -2.62766e-06, 0.000181968,18115.373,14604.1466, 35268, 31627
a14025, 1926-09-07T00:47:31.2Z, 232.862229, -55.106162, -0.00018204, -1.97803e-06, -2.0529e-06, 0.000181962,18308.0016,15089.1766, 35268, 31627
a14026, 1926-09-07T01:30:43.2Z, 249.752884, -44.857448, -0.00018201, -1.71234e-06, -1.74877e-06, 0.000181953,18316.7046,14975.6733, 35268, 31627
a14027, 1926-09-07T02:16:48Z, 251.302309, -55.095254, -0.00018201, -4.25169e-06, -4.3228e-06, 0.00018191,17812.1456,15061.8285, 35268, 31627
a14028, 1926-09-07T03:04:19.2Z, 265.819113, -26.407475, -0.000182, -3.2545e-06, -3.25764e-06, 0.000181927,18543.3732,15499.7959, 35268, 31627
a14029, 1926-09-07T03:51:50.4Z, 276.603251, -22.39868, -0.000181635, -3.10357e-06, -3.12644e-06, 0.000182032,19540.4509,20808.5907, 35268, 31627
a14030, 1926-09-07T23:52:48Z, 256.165983, -38.764634, -0.000181947, -2.24086e-06, -2.2548e-06, 0.000181932,18256.227,16089.7894, 38243, 31327
a14031, 1926-09-08T00:34:33.6Z, 256.147885, -38.807218, -0.000181944, -3.11817e-06, -3.13633e-06, 0.000181926,18430.679,15749.4475, 38243, 31327
a14032, 1926-09-08T01:13:26.4Z, 256.03327, -38.87355, -0.000181962, -2.72991e-06, -2.75138e-06, 0.000181929,19032.1185,15462.4744, 38243, 31327
a14033, 1926-09-08T01:52:19.2Z, 255.993095, -38.870004, -0.000181994, -1.25812e-06, -1.28079e-06, 0.000181935,19214.4585,15477.5981, 38243, 31327
a14034, 1926-09-08T02:38:24Z, 256.27027, -38.561898, -0.000182027, -3.18598e-06, -3.21634e-06, 0.000181932,17960.2817,16685.7545, 38243, 31327
a14035, 1926-09-08T03:17:16.8Z, 255.953746, -38.877115, -0.000182125, -1.00011e-06, -9.98465e-07, 0.000181952,19352.6309,15258.5451, 38243, 31327
a14036, 1926-09-08T04:04:48Z, 288.911282, 4.407603, -0.000182012, -2.46417e-06, -2.42328e-06, 0.000181959,18057.8106,15878.8467, 35268, 31627
